race_year_id,rank,runner,time,age,gender,nationality,time_in_seconds,event,race,city,country,date,start_time,participation,distance,elevation_gain,elevation_loss,aid_stations,participants,event_race,year
18669,1,WIECZOREK Matthew,16H 22M 56S,34,M,USA,58976,Burning River Endurance Run,100 Mile,Hudson,United States,2017-07-29,04:00:00,solo,164.6,2610,-2530,14,250,Burning River Endurance Run_100 Mile,2017
16853,1,WAGNER Thomas,22H 51M 41S,42,M,AUT,82301,Chiemgauer 100,100 Mile,Bergen,Germany,2017-07-28,14:00:00,Solo,0,0,-0,9,150,Chiemgauer 100_100 Mile,2017
16103,1,Hammes Christopher,21H 11M 27S,30,M,USA,76287,Bryce Canyon,100 Mile,Hatch,United States,2017-06-16,00:00:00,solo,159.4,4800,-4800,13,150,Bryce Canyon_100 Mile,2017
14011,1,STOCKS Michael,14H 57M 53S,52,M,GBR,53873,Centurion Thames Path 100,Centurion Thames Path 100,London,United Kingdom,2017-04-29,10:00:00,solo,160.7,1880,-1850,13,300,Centurion Thames Path 100_Centurion Thames Path 100,2017
21897,1,BYGDELL JOHANNA,15H 10M 35S,39,W,SWE,54635,Täby Extreme Challenge,TEC 100 Miles,Täby,Sweden,2017-04-22,10:00:00,solo,160.3,1780,-1780,13,150,Täby Extreme Challenge_TEC 100 Miles,2017
19971,1,ARNSTEIN Michael,21H 52M 16S,44,M,USA,78736,HURT 100,HURT 100 MILE ENDURANCE RUN,NA,United States,2017-01-15,00:00:00,solo,161,8200,-8200,0,0,HURT 100_HURT 100 MILE ENDURANCE RUN,2017
11955,1,Bitter Zach,13H 30M 28S,35,M,USA,48628,Javelina Jundred,100 Miles,FortMcDowell,United States,2016-10-29,06:00:00,solo,159.4,1760,-1760,26,799,Javelina Jundred_100 Miles,2016
16971,1,Lasater Chad,21H 28M 51S,49,M,USA,77331,Cactus Rose,100 Mile,Bandera,United States,2016-10-22,00:00:00,solo,161,4400,-4400,20,0,Cactus Rose_100 Mile,2016
11352,1,DENBY Mark,14H 7M 39S,48,M,GBR,50859,Centurion Autumn 100,Centurion Autumn 100,GoringOnThames,United Kingdom,2016-10-15,10:00:00,solo,162.4,2130,-2140,14,300,Centurion Autumn 100_Centurion Autumn 100,2016
11982,1,WIECZOREK Matthew,17H 48M 42S,34,M,USA,64122,Burning River Endurance Run,100 Mile,Hudson,United States,2016-08-06,04:00:00,solo,163,2470,-2470,20,0,Burning River Endurance Run_100 Mile,2016
11486,1,KIRBY Neil,16H 46M 21S,40,M,GBR,60381,Centurion North Downs Way 100,Centurion North Downs Way 100,farnham,United Kingdom,2016-08-06,06:00:00,solo,170.2,3490,-3520,14,300,Centurion North Downs Way 100_Centurion North Downs Way 100,2016
12166,1,BERNARD Armin,23H 29M 32S,58,M,GER,84572,Chiemgauer 100,100 Mile,Bergen,Germany,2016-07-29,14:00:00,Solo,160,7500,-7500,9,150,Chiemgauer 100_100 Mile,2016
12004,1,Hammond Mark,19H 30M 25S,36,M,USA,70225,Bryce Canyon,100 Mile,Hatch,United States,2016-06-03,00:00:00,solo,159.4,4800,-4800,13,90,Bryce Canyon_100 Mile,2016
10686,1,HOLGATE Craig,14H 9M 54S,45,M,GBR,50994,Centurion Thames Path 100,Centurion Thames Path 100,London,United Kingdom,2016-04-30,00:00:00,solo,166.9,1532,-1502,13,300,Centurion Thames Path 100_Centurion Thames Path 100,2016
10990,1,JOHANSSON Jonas,16H 3M 5S,42,M,SWE,57785,Täby Extreme Challenge,TEC 100 Miles,Täby,Sweden,2016-04-16,10:00:00,solo,158.2,1540,-1540,13,250,Täby Extreme Challenge_TEC 100 Miles,2016
12320,1,BROWNING JEFF,21H 22M 49S,50,M,USA,76969,HURT 100,HURT 100 MILE ENDURANCE RUN,NA,United States,2016-01-16,00:00:00,solo,161,8200,-8200,0,0,HURT 100_HURT 100 MILE ENDURANCE RUN,2016
9703,1,GIBLIN Paul,13H 49M 17S,44,M,GBR,49757,Javelina Jundred,100 Miles,FortMcDowell,United States,2015-10-31,00:00:00,solo,163.4,1850,-1850,26,0,Javelina Jundred_100 Miles,2015
11422,1,LEWIS Michael,20H 18M 7S,45,M,USA,73087,Cactus Rose,100 Mile,Bandera,United States,2015-10-24,00:00:00,solo,161,4400,-4400,20,0,Cactus Rose_100 Mile,2015
8966,1,Elson James,14H 35M 40S,39,M,GBR,52540,Centurion Autumn 100,Centurion Autumn 100,GoringOnThames,United Kingdom,2015-10-17,00:00:00,solo,162.4,2130,-2140,15,240,Centurion Autumn 100_Centurion Autumn 100,2015
8392,1,CATMUR Edward,18H 2M 0S,39,M,GBR,64920,Centurion North Downs Way 100,Centurion North Downs Way 100,farnham,United Kingdom,2015-08-08,00:00:00,solo,170.2,3490,-3520,14,0,Centurion North Downs Way 100_Centurion North Downs Way 100,2015
8728,1,OSKVIG Daven,17H 50M 0S,44,M,USA,64200,Burning River Endurance Run,100 Mile,Hudson,United States,2015-07-25,00:00:00,solo,163,2470,-2470,20,0,Burning River Endurance Run_100 Mile,2015
12158,1,WAGNER Thomas,21H 56M 30S,42,M,AUT,78990,Chiemgauer 100,100 Mile,Bergen,Germany,2015-07-24,00:00:00,Solo,160,7500,-7500,9,0,Chiemgauer 100_100 Mile,2015
9876,1,BOUGUIN Florent,17H 58M 34S,46,M,CAN,64714,Bryce Canyon,100 Mile,Hatch,United States,2015-06-05,00:00:00,solo,159.4,4800,-4800,13,0,Bryce Canyon_100 Mile,2015
7980,1,WILLCOCKS Max,16H 35M 11S,39,M,GBR,59711,Centurion Thames Path 100,Centurion Thames Path 100,London,United Kingdom,2015-05-02,00:00:00,solo,161,1600,-1600,13,0,Centurion Thames Path 100_Centurion Thames Path 100,2015
9963,1,SJALIN Max,14H 7M 5S,31,M,SWE,50825,Täby Extreme Challenge,TEC 100 Miles,Täby,Sweden,2015-04-11,00:00:00,solo,159.5,2510,-2520,13,150,Täby Extreme Challenge_TEC 100 Miles,2015
9189,1,ARNSTEIN Michael,21H 29M 39S,44,M,USA,77379,HURT 100,HURT 100 MILE ENDURANCE RUN,NA,United States,2015-01-17,00:00:00,solo,161,8200,-8200,0,0,HURT 100_HURT 100 MILE ENDURANCE RUN,2015
7253,1,SHIPEK Catlow,14H 51M 33S,43,M,USA,53493,Javelina Jundred,100 Miles,FortMcDowell,United States,2014-11-01,00:00:00,solo,162.9,1960,-1960,0,0,Javelina Jundred_100 Miles,2014
7114,1,HOPTON JONES Brian,21H 8M 30S,34,M,USA,76110,Cactus Rose,100 Mile,Bandera,United States,2014-10-25,00:00:00,solo,161,4400,-4400,20,0,Cactus Rose_100 Mile,2014
7558,1,CONSANI Marco,15H 3M 43S,47,M,GBR,54223,Centurion Autumn 100,Centurion Autumn 100,GoringOnThames,United Kingdom,2014-10-18,00:00:00,solo,162.4,2130,-2140,15,0,Centurion Autumn 100_Centurion Autumn 100,2014
6241,1,OAKES Duncan,17H 4M 12S,56,M,GBR,61452,Centurion North Downs Way 100,Centurion North Downs Way 100,farnham,United Kingdom,2014-08-09,00:00:00,solo,173.5,2460,-2500,0,0,Centurion North Downs Way 100_Centurion North Downs Way 100,2014
7124,1,SHELLHAMER Troy,17H 25M 2S,41,M,USA,62702,Burning River Endurance Run,100 Mile,Hudson,United States,2014-08-02,00:00:00,solo,163,2470,-2470,20,0,Burning River Endurance Run_100 Mile,2014
6974,1,DOHNERT Rudi,21H 28M 4S,52,M,GER,77284,Chiemgauer 100,100 Mile,Bergen,Germany,2014-07-25,00:00:00,Solo,160,7500,-7500,0,0,Chiemgauer 100_100 Mile,2014
7131,1,MARION Zac,21H 14M 11S,36,M,USA,76451,Bryce Canyon,100 Mile,Hatch,United States,2014-06-14,00:00:00,solo,161,4200,-4200,0,0,Bryce Canyon_100 Mile,2014
6659,1,CATMUR Edward,16H 38M 13S,39,M,GBR,59893,Centurion Thames Path 100,Centurion Thames Path 100,London,United Kingdom,2014-05-03,00:00:00,solo,161,1600,-1600,0,0,Centurion Thames Path 100_Centurion Thames Path 100,2014
7573,1,FALK Andreas,13H 34M 31S,44,M,SWE,48871,Täby Extreme Challenge,TEC 100 Miles,Täby,Sweden,2014-04-12,00:00:00,solo,160.9,2400,-2400,0,0,Täby Extreme Challenge_TEC 100 Miles,2014
7112,1,ROBBINS Gary,21H 34M 0S,45,M,CAN,77640,HURT 100,HURT 100 MILE ENDURANCE RUN,NA,United States,2014-01-18,00:00:00,solo,161,7620,-7620,0,0,HURT 100_HURT 100 MILE ENDURANCE RUN,2014
5266,1,CATMUR Edward,16H 5M 10S,39,M,GBR,57910,Centurion Autumn 100,Centurion Autumn 100,GoringOnThames,United Kingdom,2013-11-30,00:00:00,solo,162.4,2130,-2140,0,0,Centurion Autumn 100_Centurion Autumn 100,2013
4344,1,LEEHMAN Nathan,18H 56M 33S,48,M,USA,68193,Cactus Rose,100 Mile,Bandera,United States,2013-10-26,00:00:00,solo,161,4400,-4400,0,0,Cactus Rose_100 Mile,2013
4745,1,KOERNER Hal,14H 56M 53S,45,M,USA,53813,Javelina Jundred,100 Miles,FortMcDowell,United States,2013-10-26,00:00:00,solo,162.9,1960,-1960,0,0,Javelina Jundred_100 Miles,2013
4126,1,CATMUR Edward,15H 44M 39S,39,M,GBR,56679,Centurion North Downs Way 100,Centurion North Downs Way 100,farnham,United Kingdom,2013-08-10,00:00:00,solo,161,3030,-3070,0,0,Centurion North Downs Way 100_Centurion North Downs Way 100,2013
4303,1,HOGG Peter,14H 25M 14S,39,M,USA,51914,Burning River Endurance Run,100 Mile,Hudson,United States,2013-07-27,00:00:00,solo,161,2470,-2470,0,0,Burning River Endurance Run_100 Mile,2013
4314,1,HOLLON Nick,22H 46M 1S,32,M,USA,81961,Chiemgauer 100,100 Mile,Bergen,Germany,2013-07-26,00:00:00,Solo,160,7500,-7500,0,0,Chiemgauer 100_100 Mile,2013
5623,1,CANETTA Filippo,19H 52M 36S,49,M,ITA,71556,Bryce Canyon,100 Mile,Hatch,United States,2013-05-31,00:00:00,solo,161,4200,-4200,0,0,Bryce Canyon_100 Mile,2013
4417,1,STEENE Johan,16H 54M 28S,48,M,SWE,60868,Täby Extreme Challenge,TEC 100 Miles,Täby,Sweden,2013-04-13,00:00:00,solo,160.9,2400,-2400,0,0,Täby Extreme Challenge_TEC 100 Miles,2013
4080,1,BACON Martin,18H 10M 53S,55,M,GBR,65453,Centurion Thames Path 100,Centurion Thames Path 100,London,United Kingdom,2013-03-23,00:00:00,solo,161,1600,-1600,0,0,Centurion Thames Path 100_Centurion Thames Path 100,2013
4290,1,ROBBINS Gary,19H 35M 0S,45,M,CAN,70500,HURT 100,HURT 100 MILE ENDURANCE RUN,NA,United States,2013-01-19,00:00:00,solo,161,7620,-7620,0,0,HURT 100_HURT 100 MILE ENDURANCE RUN,2013
3491,1,CUNNINGHAM Richard,17H 14M 10S,52,M,GBR,62050,Centurion Autumn 100,Centurion Autumn 100,GoringOnThames,United Kingdom,2012-11-24,00:00:00,solo,162.4,2130,-2140,0,0,Centurion Autumn 100_Centurion Autumn 100,2012
2692,1,MOORE Steven,17H 34M 8S,54,M,USA,63248,Cactus Rose,100 Mile,Bandera,United States,2012-10-27,00:00:00,solo,161,4400,-4400,0,0,Cactus Rose_100 Mile,2012
3226,1,ARNSTEIN Michael,14H 38M 26S,44,M,USA,52706,Javelina Jundred,100 Miles,FortMcDowell,United States,2012-10-27,00:00:00,solo,162.9,1960,-1960,0,0,Javelina Jundred_100 Miles,2012
2665,1,LAGO Manuel,17H 51M 56S,45,M,BRA,64316,Centurion North Downs Way 100,Centurion North Downs Way 100,farnham,United Kingdom,2012-08-11,00:00:00,solo,161,3030,-3070,0,0,Centurion North Downs Way 100_Centurion North Downs Way 100,2012
2694,1,JAMES Dave,15H 2M 0S,43,M,USA,54120,Burning River Endurance Run,100 Mile,Hudson,United States,2012-07-28,00:00:00,solo,161,2470,-2350,0,0,Burning River Endurance Run_100 Mile,2012
2903,1,DONATH Lars,24H 14M 0S,38,M,GER,87240,Chiemgauer 100,100 Mile,Bergen,Germany,2012-07-27,00:00:00,Solo,160,7500,-7500,0,0,Chiemgauer 100_100 Mile,2012
2910,1,ORSVARN Sten,17H 24M 19S,59,M,SWE,62659,Täby Extreme Challenge,TEC 100 Miles,Täby,Sweden,2012-04-14,00:00:00,solo,160.9,2400,-2400,0,0,Täby Extreme Challenge_TEC 100 Miles,2012
2320,1,HOLGATE Craig,15H 11M 15S,45,M,GBR,54675,Centurion Thames Path 100,Centurion Thames Path 100,London,United Kingdom,2012-03-03,00:00:00,solo,161,1600,-1600,0,0,Centurion Thames Path 100_Centurion Thames Path 100,2012
3253,1,LOUTITT Jason,22H 44M 12S,47,M,CAN,81852,HURT 100,HURT 100 MILE ENDURANCE RUN,NA,United States,2012-01-14,00:00:00,solo,161,7620,-7620,0,0,HURT 100_HURT 100 MILE ENDURANCE RUN,2012
